"origin","station_id","name","top_destination","state","status"
"403","2156","Amathur","0","","0"
"404","8410","Amb","0","","0"
"405","5719","Amba","0","","0"
"406","16084","Amba Nagar (mp)","0","","0"
"407","12992","Amba(bihar)","0","","0"
"408","7987","Amba(gujarat)","0","","0"
"409","1612","Amba(Maharashtra)","0","","0"
"410","371","Amba(rajasthan)","0","","0"
"411","8595","Ambad","0","","0"
"412","10746","Ambada","0","","0"
"413","5417","Ambadali","0","","0"
"414","771","Ambadawe","0","","0"
"415","13156","Ambadi, Maharashtra","0","","0"
"416","17550","Ambagan","0","","0"
"417","5032","Ambagarh","0","","0"
"418","16973","Ambaghanta (gujarat)","0","","0"
"419","11429","Ambaghat","0","","0"
"420","17370","Ambagilu (karnataka)","0","","0"
"421","11489","Ambaguda","0","","0"
"422","3697","Ambah","0","","0"
"423","7012","Ambaji","0","","0"
"424","1433","Ambajipeta","0","","0"
"425","5872","Ambajogai","0","","0"
"426","5001","Ambala","0","","0"
"427","12944","Ambala Cantonment","0","","0"
"428","15645","Ambala Cantt","0","","0"
"429","3886","Ambalapuzha","0","","0"
"430","10624","Ambalavanapuram","0","","0"
"431","16816","Ambalavayal (kerala)","0","","0"
"432","16974","Ambaliyala (gujarat)","0","","0"
"433","10551","Amballur","0","","0"
"434","2671","Ambalner","0","","0"
"435","12189","Ambalur","0","","0"
"436","21679","Ambapani (Gujarat)","0","","0"
"437","12495","Ambapura","0","","0"
"438","12370","Ambardi (gujarat)","0","","0"
"439","21793","Ambari (Assam)","0","","0"
"440","7634","Ambari (uttar Pradesh)","0","","0"
"441","15702","Ambarim","0","","0"
"442","9679","Ambasamudram","0","","0"
"443","10248","Ambassa","0","","0"
"444","15703","Ambaulim","0","","0"
"445","2522","Ambavane","0","","0"
"446","8727","Ambavaram","0","","0"
"447","16097","Ambayathode (kerala)","0","","0"
"448","7991","Ambbor","0","","0"
"449","13847","Ambedkar Nagar","0","","0"
"450","4930","Ambegaon","0","","0"
"451","15704","Ambelim","0","","0"
"452","21458","Amberi Check Naka (Maharashtra)","0","","0"
"453","8626","Amberia","0","","0"
"454","1289","Ambernath","0","","0"
"455","4127","Ambet","0","","0"
"456","22083","Ambika Nagar (Maharashtra)","0","","0"
"457","3338","Ambikanagar","0","","0"
"458","9535","Ambikapur","0","","0"
"459","22085","Ambikapur  (Madhya Pradesh)","0","","0"
"460","12213","Ambilikkai","0","","0"
"461","15983","Ambla","0","","0"
"462","12001","Ambodala","0","","0"
"463","127","Amboli","0","","0"
"464","17640","Amboli Kunkeshwar Package","0","","0"
"465","15479","Ambu(Mawal)","0","","0"
"466","5896","Ambu(mawal)","0","","0"
"467","18996","Ambua","0","","0"
"468","7163","Ambur","0","","0"
"469","13047","Amda, Jharkhand","0","","0"
"470","31","Amdapur(Andhra Pradesh)","0","","0"
"471","6454","Amdapur(Maharashtra)","0","","0"
"472","12998","Amdi","0","","0"
"473","13067","Ameni, Maharashtra","0","","0"
"474","16723","Amer (jaipur)","0","","0"
"475","15338","Amer, Jaipur","0","","0"
"476","5554","Amet","0","","0"
"477","16257","Ameta (Rajasthan)","0","","0"
"478","2870","Amethi","0","","0"
"479","10052","Amgaon","0","","0"
"480","7874","Amgaon(maharashtra)","0","","0"
"481","9487","Amguri","0","","0"
"482","14746","Amguri Haloating(Assam)","0","","0"
"483","22371","Amiliya","0","","0"
"484","7842","Amilori (Uttar Pradesh)","0","","0"
"485","7153","Amingad","0","","0"
"486","1431","Amipura","0","","0"
"487","6362","Amirgadh","0","","0"
"488","11321","Amjhera","0","","0"
"489","12050","Amjuru","0","","0"
"490","13210","Amla, Madhya Pradesh","0","","0"
"491","22356","Amlaha","0","","0"
"492","8747","Amlarem","0","","0"
"493","19145","Amlari (rajasthan)","0","","0"
"494","13147","Amli","0","","0"
"495","15295","Amliya, Rajasthan","0","","0"
"496","12675","Amloh","0","","0"
"497","10767","Ammainaickanur","0","","0"
"498","13876","Ammaiyappan","0","","0"
"499","10873","Ammanpuram","0","","0"
"500","13831","Ammapalem","0","","0"
"501","2570","Ammapattinam","0","","0"
"502","13807","Ammapettai","0","","0"
"503","5640","Ammathi","0","","0"
"504","17705","Amminahalli ( Sirsi )","0","","0"
"505","12405","Amnari","0","","0"
"506","3534","Amnour","0","","0"
"507","5596","Amod(Gujrat)","0","","0"
"508","5459","Amodpur","0","","0"
"509","15705","Amona","0","","0"
"510","8757","Amoura","0","","0"
"511","12713","Ampani","0","","0"
"512","9755","Ampar","0","","0"
"513","2395","Ampati","0","","0"
"514","7650","Amraghat (assam)","0","","0"
"515","9168","Amran","0","","0"
"516","8325","Amrapara","0","","0"
"517","16050","Amrapara (jharkhand)","0","","0"
"518","5184","Amrapur","0","","0"
"519","15765","Amrati","0","","0"
"520","7150","Amraudha","0","","0"
"521","2743","Amravati","0","","0"
"522","782","Amreli","0","","0"
"523","12925","Amring, Assam","0","","0"
"524","8102","Amritsar","0","","0"
"525","4453","Amritsar city tour ","0","","0"
"526","21662","Amriya (Uttar Pradesh)","0","","0"
"527","7683","Amroha","0","","0"
"528","12280","Amroli","0","","0"
"529","12066","Amroniya","0","","0"
"530","6026","Amruthalur","0","","0"
"531","11948","Amrutpur","0","","0"
"532","9448","Amrutvel","0","","0"
"533","11871","Amsaur","0","","0"
"534","5010","Amta","0","","0"
"535","12000","Amtala","0","","0"
"536","8891","Amtalia","0","","0"
"537","16860","Amuthapuram (tamil Nadu)","0","","0"
"538","6906","Anadra","0","","0"
"539","17065","Anagawadi (karnataka)","0","","0"
"540","13348","Anagodu, Karnataka","0","","0"
"541","4044","Anaikarai","0","","0"
"542","3268","Anaikuttam","0","","0"
"543","3033","Anaimalai","0","","0"
"544","17066","Anaji (karnataka)","0","","0"
"545","8127","Anakapalle","0","","0"
"546","7086","Anakapalle By Pass","0","","0"
"547","22227","Anakarlapudi","0","","0"
"548","7305","Anakkara","0","","0"
"549","5471","Anamasamudrampeta","0","","0"
"550","8243","Anampally","0","","0"
"551","1135","Anand","0","","0"
"552","6716","Anandapura","0","","0"
"553","13487","Anandapuram (andhra Pradesh)","0","","0"
"554","11519","Anandgaon","0","","0"
"555","6796","Anandpar","0","","0"
"556","5442","Anandpur (Himachal Pradesh)","0","","0"
"557","21820","Anandpur (Punjab)","0","","0"
"558","19146","Anandpur Kalu","0","","0"
"559","10785","Anandpur Sahib","0","","0"
"560","3066","Anandpur(madhya Pradesh)","0","","0"
"561","13119","Anandpur, Jharkhand","0","","0"
"562","2010","Anandpuri","0","","0"
"563","16975","Anandsar (gujarat)","0","","0"
"564","6646","Anandur","0","","0"
"565","21480","Anandur (Punjab)","0","","0"
"566","22236","Anantapur","0","","0"
"567","5107","Anantapur","0","","0"
"568","9362","Anantapur Bypass","0","","0"
"569","8052","Anantavaram","0","","0"
"570","4251","Ananthagiri","0","","0"
"571","16063","Ananthagiri Tour (telangana)","0","","0"
"572","7057","Ananthapalli","0","","0"
"573","12042","Ananthapur (Sagara)","0","","0"
"574","15945","Ananthapur (Telangana)","0","","0"
"575","410","Ananthasagaram","0","","0"
"576","2311","Ananthnag","0","","0"
"577","6088","Anaparthi","0","","0"
